word,translation
Automation,ระบบอัตโนมัติ
Linux,ลินุกซ์
SSH,SSH
OpenSSH,OpenSSH
How-to,วิธีการ
Comment,ความคิดเห็น
Arch Linux,อาร์ชลินุกซ์
Firewall,ไฟร์วอลล์
Router,เราเตอร์
Switch,สวิตช์
Server,เซิร์ฟเวอร์
Client,ไคลเอนต์
Kernel,เคอร์เนล
Terminal,เทอร์มินัล
Command Line Interface,ส่วนต่อประสานบรรทัดคำสั่ง
Graphical User Interface,ส่วนต่อประสานกราฟิกกับผู้ใช้
Software,ซอฟต์แวร์
Hardware,ฮาร์ดแวร์
Firmware,เฟิร์มแวร์
Middleware,มิดเดิลแวร์
Application,แอปพลิเคชัน
Program,โปรแกรม
Code,โค้ด
Script,สคริปต์
Algorithm,อัลกอริทึม
Database,ฐานข้อมูล
Cloud Computing,คลาวด์คอมพิวติ้ง
Virtualization,เวอร์ชวลไลเซชัน
Containerization,คอนเทนเนอร์ไลเซชัน
Docker,ด็อกเกอร์
Kubernetes,คูเบอร์เนทีส
API (Application Programming Interface),API (ส่วนต่อประสานโปรแกรมประยุกต์)
SDK (Software Development Kit),SDK (ชุดพัฒนาซอฟต์แวร์)
IDE (Integrated Development Environment),IDE (สภาพแวดล้อมการพัฒนาแบบบูรณาการ)
Git,กิต
GitHub,กิตฮับ
Repository,ที่เก็บ
Branch,สาขา
Commit,คอมมิท
Merge,ผสาน
Pull Request,คำขอดึง
Bug,บั๊ก
Debug,ดีบั๊ก
Cache,แคช
Cookie,คุกกี้
Plugin,ปลั๊กอิน
Widget,วิดเจ็ต
Framework,เฟรมเวิร์ก
Library,ไลบรารี
Module,โมดูล
Domain Name System,ระบบชื่อโดเมน
IP Address,ที่อยู่ IP
URL (Uniform Resource Locator),URL (ตัวระบุแหล่งทรัพยากรสากล)
HTTP (Hypertext Transfer Protocol),HTTP (เกณฑ์วิธีถ่ายโอนข้อความหลายมิติ)
HTTPS (Hypertext Transfer Protocol Secure),HTTPS (เกณฑ์วิธีถ่ายโอนข้อความหลายมิติแบบปลอดภัย)
SSL (Secure Sockets Layer),SSL (Secure Sockets Layer)
TLS (Transport Layer Security),TLS (Transport Layer Security)
Encryption,การเข้ารหัส
Decryption,การถอดรหัส
Authentication,การพิสูจน์ตัวตน
Authorization,การอนุญาต
Cybersecurity,ความปลอดภัยทางไซเบอร์
Malware,มัลแวร์
Virus,ไวรัส
Trojan,โทรจัน
Ransomware,แรนซัมแวร์
Phishing,ฟิชชิง
Firewall,ไฟร์วอลล์
VPN (Virtual Private Network),VPN (เครือข่ายส่วนตัวเสมือน)
Backup,สำรองข้อมูล
Restore,กู้คืน
Big Data,บิ๊กดาต้า
Machine Learning,การเรียนรู้ของเครื่อง
Artificial Intelligence,ปัญญาประดิษฐ์
Internet of Things,อินเทอร์เน็ตของสรรพสิ่ง
Blockchain,บล็อกเชน
Cryptocurrency,คริปโตเคอร์เรนซี
Open Source,โอเพนซอร์ส
Proprietary Software,ซอฟต์แวร์กรรมสิทธิ์
User,ผู้ใช้
Administrator,ผู้ดูแลระบบ
Developer,นักพัฒนา
Engineer,วิศวกร
Syntax,ไวยากรณ์
Compiler,คอมไพเลอร์
Interpreter,อินเทอร์พรีเตอร์
Object-Oriented Programming,การเขียนโปรแกรมเชิงวัตถุ
Functional Programming,การเขียนโปรแกรมเชิงฟังก์ชัน
Frontend,ฟรอนต์เอนด์
Backend,แบ็กเอนด์
Full Stack,ฟูลสแต็ก
DevOps,เดฟออปส์
Agile,อะไจล์
Scrum,สกรัม
Waterfall Model,โมเดลน้ำตก
Pixel,พิกเซล
Resolution,ความละเอียด
Bandwidth,แบนด์วิดท์
Latency,ความหน่วง
Driver,ไดรเวอร์
Operating System,ระบบปฏิบัติการ
BIOS,ไบออส
UEFI,UEFI
Bootloader,บูตโหลดเดอร์
Partition,พาร์ติชัน
File System,ระบบไฟล์
Directory,ไดเรกทอรี
File,ไฟล์
Folder,โฟลเดอร์
Proxy Server,พร็อกซีเซิร์ฟเวอร์
Load Balancer,โหลดบาลานเซอร์
Data Center,ศูนย์ข้อมูล
Microservices,ไมโครเซอร์วิส
Monolith,โมโนลิธ
Stack Overflow,Stack Overflow
Boolean,บูลีน
Integer,จำนวนเต็ม
String,สตริง
Array,อะเรย์
Variable,ตัวแปร
Function,ฟังก์ชัน
Class,คลาส
Object,วัตถุ
Method,เมธอด
Parameter,พารามิเตอร์
Argument,อาร์กิวเมนต์
Loop,ลูป
Conditional Statement,คำสั่งเงื่อนไข
Pointer,พอยน์เตอร์
Memory,หน่วยความจำ
CPU (Central Processing Unit),CPU (หน่วยประมวลผลกลาง)
GPU (Graphics Processing Unit),GPU (หน่วยประมวลผลกราฟิก)
RAM (Random Access Memory),RAM (หน่วยความจำเข้าถึงโดยสุ่ม)
ROM (Read-Only Memory),ROM (หน่วยความจำอ่านอย่างเดียว)
SSD (Solid State Drive),SSD (โซลิดสเตตไดรฟ์)
HDD (Hard Disk Drive),HDD (ฮาร์ดดิสก์ไดรฟ์)
Motherboard,เมนบอร์ด
Power Supply,แหล่งจ่ายไฟ
Network Interface Card,การ์ดอินเทอร์เฟซเครือข่าย
Wi-Fi,Wi-Fi
Bluetooth,บลูทูธ
USB (Universal Serial Bus),USB (Universal Serial Bus)
HDMI (High-Definition Multimedia Interface),HDMI (High-Definition Multimedia Interface)
Ethernet,อีเทอร์เน็ต
Packet,แพ็กเก็ต
Protocol,โพรโทคอล
Port,พอร์ต
Firewall Rule,กฎไฟร์วอลล์
Subnet Mask,ซับเน็ตมาสก์
Gateway,เกตเวย์
DNS Server,เซิร์ฟเวอร์ DNS
DHCP (Dynamic Host Configuration Protocol),DHCP (Dynamic Host Configuration Protocol)
Virtual Machine,เครื่องเสมือน
