word,translation
Automation,Automatización
Linux,Linux
SSH,SSH
OpenSSH,OpenSSH
How-to,Cómo hacer
Comment,Comentario
Arch Linux,Arch Linux
Firewall,Cortafuegos
Router,Enrutador
Switch,Conmutador
Server,Servidor
Client,Cliente
Kernel,Kernel
Terminal,Terminal
Command Line Interface,Interfaz de línea de comandos
Graphical User Interface,Interfaz gráfica de usuario
Software,Software
Hardware,Hardware
Firmware,Firmware
Middleware,Middleware
Application,Aplicación
Program,Programa
Code,Código
Script,Script
Algorithm,Algoritmo
Database,Base de datos
Cloud Computing,Computación en la nube
Virtualization,Virtualización
Containerization,Contenedorización
Docker,Docker
Kubernetes,Kubernetes
API (Application Programming Interface),API (Interfaz de Programación de Aplicaciones)
SDK (Software Development Kit),SDK (Kit de Desarrollo de Software)
IDE (Integrated Development Environment),IDE (Entorno de Desarrollo Integrado)
Git,Git
GitHub,GitHub
Repository,Repositorio
Branch,Rama
Commit,Commit
Merge,Fusión
Pull Request,Solicitud de extracción
Bug,Error
Debug,Depurar
Cache,Caché
Cookie,Cookie
Plugin,Plugin
Widget,Widget
Framework,Framework
Library,Librería
Module,Módulo
Domain Name System,Sistema de Nombres de Dominio
IP Address,Dirección IP
URL (Uniform Resource Locator),URL (Localizador Uniforme de Recursos)
HTTP (Hypertext Transfer Protocol),HTTP (Protocolo de Transferencia de Hipertexto)
HTTPS (Hypertext Transfer Protocol Secure),HTTPS (Protocolo Seguro de Transferencia de Hipertexto)
SSL (Secure Sockets Layer),SSL (Capa de Conexión Segura)
TLS (Transport Layer Security),TLS (Seguridad de la Capa de Transporte)
Encryption,Cifrado
Decryption,Descifrado
Authentication,Autenticación
Authorization,Autorización
Cybersecurity,Ciberseguridad
Malware,Malware
Virus,Virus
Trojan,Troyano
Ransomware,Ransomware
Phishing,Phishing
Firewall,Cortafuegos
VPN (Virtual Private Network),VPN (Red Privada Virtual)
Backup,Copia de seguridad
Restore,Restaurar
Big Data,Big Data
Machine Learning,Aprendizaje automático
Artificial Intelligence,Inteligencia artificial
Internet of Things,Internet de las Cosas
Blockchain,Blockchain
Cryptocurrency,Criptomoneda
Open Source,Código abierto
Proprietary Software,Software propietario
User,Usuario
Administrator,Administrador
Developer,Desarrollador
Engineer,Ingeniero
Syntax,Sintaxis
Compiler,Compilador
Interpreter,Intérprete
Object-Oriented Programming,Programación orientada a objetos
Functional Programming,Programación funcional
Frontend,Frontend
Backend,Backend
Full Stack,Full Stack
DevOps,DevOps
Agile,Ágil
Scrum,Scrum
Waterfall Model,Modelo en cascada
Pixel,Píxel
Resolution,Resolución
Bandwidth,Ancho de banda
Latency,Latencia
Driver,Controlador
Operating System,Sistema operativo
BIOS,BIOS
UEFI,UEFI
Bootloader,Cargador de arranque
Partition,Partición
File System,Sistema de archivos
Directory,Directorio
File,Archivo
Folder,Carpeta
Proxy Server,Servidor proxy
Load Balancer,Balanceador de carga
Data Center,Centro de datos
Microservices,Microservicios
Monolith,Monolito
Stack Overflow,Stack Overflow
Boolean,Booleano
Integer,Entero
String,Cadena de texto
Array,Array
Variable,Variable
Function,Función
Class,Clase
Object,Objeto
Method,Método
Parameter,Parámetro
Argument,Argumento
Loop,Bucle
Conditional Statement,Sentencia condicional
Pointer,Puntero
Memory,Memoria
