word,translation
Automation,Automação
Linux,Linux
SSH,SSH
OpenSSH,OpenSSH
How-to,Como fazer
Comment,Comentário
Arch Linux,Arch Linux
Firewall,Firewall
Router,Roteador
Switch,Switch
Server,Servidor
Client,Cliente
Kernel,Kernel
Terminal,Terminal
Command Line Interface,Interface de linha de comando
Graphical User Interface,Interface gráfica do usuário
Software,Software
Hardware,Hardware
Firmware,Firmware
Middleware,Middleware
Application,Aplicativo
Program,Programa
Code,Código
Script,Script
Algorithm,Algoritmo
Database,Banco de dados
Cloud Computing,Computação em nuvem
Virtualization,Virtualização
Containerization,Containerização
Docker,Docker
Kubernetes,Kubernetes
API (Application Programming Interface),API (Interface de Programação de Aplicativos)
SDK (Software Development Kit),SDK (Kit de Desenvolvimento de Software)
IDE (Integrated Development Environment),IDE (Ambiente de Desenvolvimento Integrado)
Git,Git
GitHub,GitHub
Repository,Repositório
Branch,Branch
Commit,Commit
Merge,Mesclar
Pull Request,Pull Request
Bug,Bug
Debug,Depurar
Cache,Cache
Cookie,Cookie
Plugin,Plugin
Widget,Widget
Framework,Framework
Library,Biblioteca
Module,Módulo
Domain Name System,Sistema de Nomes de Domínio
IP Address,Endereço IP
URL (Uniform Resource Locator),URL (Localizador Uniforme de Recursos)
HTTP (Hypertext Transfer Protocol),HTTP (Protocolo de Transferência de Hipertexto)
HTTPS (Hypertext Transfer Protocol Secure),HTTPS (Protocolo Seguro de Transferência de Hipertexto)
SSL (Secure Sockets Layer),SSL (Secure Sockets Layer)
TLS (Transport Layer Security),TLS (Transport Layer Security)
Encryption,Criptografia
Decryption,Descriptografia
Authentication,Autenticação
Authorization,Autorização
Cybersecurity,Cibersegurança
Malware,Malware
Virus,Vírus
Trojan,Cavalo de Troia
Ransomware,Ransomware
Phishing,Phishing
Firewall,Firewall
VPN (Virtual Private Network),VPN (Rede Privada Virtual)
Backup,Backup
Restore,Restaurar
Big Data,Big Data
Machine Learning,Aprendizado de Máquina
Artificial Intelligence,Inteligência Artificial
Internet of Things,Internet das Coisas
Blockchain,Blockchain
Cryptocurrency,Criptomoeda
Open Source,Código Aberto
Proprietary Software,Software Proprietário
User,Usuário
Administrator,Administrador
Developer,Desenvolvedor
Engineer,Engenheiro
Syntax,Sintaxe
Compiler,Compilador
Interpreter,Interpretador
Object-Oriented Programming,Programação Orientada a Objetos
Functional Programming,Programação Funcional
Frontend,Frontend
Backend,Backend
Full Stack,Full Stack
DevOps,DevOps
Agile,Ágil
Scrum,Scrum
Waterfall Model,Modelo em Cascata
Pixel,Pixel
Resolution,Resolução
Bandwidth,Largura de banda
Latency,Latência
Driver,Driver
Operating System,Sistema Operacional
BIOS,BIOS
UEFI,UEFI
Bootloader,Bootloader
Partition,Partição
File System,Sistema de Arquivos
Directory,Diretório
File,Arquivo
Folder,Pasta
Proxy Server,Servidor Proxy
Load Balancer,Balanceador de Carga
Data Center,Centro de Dados
Microservices,Microsserviços
Monolith,Monolito
Stack Overflow,Stack Overflow
Boolean,Booleano
Integer,Inteiro
String,String
Array,Array
Variable,Variável
Function,Função
Class,Classe
Object,Objeto
Method,Método
Parameter,Parâmetro
Argument,Argumento
Loop,Loop
Conditional Statement,Declaração Condicional
Pointer,Ponteiro
Memory,Memória
CPU (Central Processing Unit),CPU (Unidade Central de Processamento)
GPU (Graphics Processing Unit),GPU (Unidade de Processamento Gráfico)
RAM (Random Access Memory),RAM (Memória de Acesso Aleatório)
ROM (Read-Only Memory),ROM (Memória Somente de Leitura)
SSD (Solid State Drive),SSD (Unidade de Estado Sólido)
HDD (Hard Disk Drive),HDD (Unidade de Disco Rígido)
Motherboard,Placa-mãe
Power Supply,Fonte de Alimentação
Network Interface Card,Placa de Interface de Rede
Wi-Fi,Wi-Fi
Bluetooth,Bluetooth
USB (Universal Serial Bus),USB (Barramento Serial Universal)
HDMI (High-Definition Multimedia Interface),HDMI (Interface Multimídia de Alta Definição)
Ethernet,Ethernet
Packet,Pacote
Protocol,Protocolo
Port,Porta
Firewall Rule,Regra de Firewall
Subnet Mask,Máscara de Sub-rede
Gateway,Gateway
DNS Server,Servidor DNS
DHCP (Dynamic Host Configuration Protocol),DHCP (Protocolo de Configuração Dinâmica de Host)
Virtual Machine,Máquina Virtual
Hypervisor,Hipervisor
Emulator,Emulador
Simulator,Simulador
Pixel Density,Densidade de Pixels
Refresh Rate,Taxa de Atualização
Responsive Design,Design Responsivo
User Experience (UX),Experiência do Usuário (UX)
User Interface (UI),Interface do Usuário (UI)
Dark Mode,Modo Escuro
Light Mode,Modo Claro
Beta Version,Versão Beta
Alpha Version,Versão Alpha
Stable Release,Lançamento Estável
Patch,Patch
Update,Atualização
Upgrade,Upgrade
Downgrade,Downgrade
Legacy System,Sistema Legado
Mainframe,Mainframe
Supercomputer,Supercomputador
Quantum Computing,Computação Quântica
Augmented Reality,Realidade Aumentada
Virtual Reality,Realidade Virtual
Mixed Reality,Realidade Mista
E-commerce,E-commerce
SaaS (Software as a Service),SaaS (Software como Serviço)
PaaS (Platform as a Service),PaaS (Plataforma como Serviço)
IaaS (Infrastructure as a Service),IaaS (Infraestrutura como Serviço)
Session,Sessão
Token,Token
Metadata,Metadados
Stack,Pilha
Queue,Fila
Tree,Árvore
