word,translation
Automation,ऑटोमेशन
Linux,लिनक्स
SSH,एसएसएच
OpenSSH,ओपनएसएसएच
How-to,कैसे करें
Comment,टिप्पणी
Arch Linux,आर्च लिनक्स
Firewall,फ़ायरवॉल
Router,राउटर
Switch,स्विच
Server,सर्वर
Client,क्लाइंट
Kernel,कर्नेल
Terminal,टर्मिनल
Command Line Interface,कमांड लाइन इंटरफ़ेस
Graphical User Interface,ग्राफ़िकल यूज़र इंटरफ़ेस
Software,सॉफ़्टवेयर
Hardware,हार्डवेयर
Firmware,फ़र्मवेयर
Middleware,मिडलवेयर
Application,एप्लिकेशन
Program,प्रोग्राम
Code,कोड
Script,स्क्रिप्ट
Algorithm,एल्गोरिदम
Database,डेटाबेस
Cloud Computing,क्लाउड कंप्यूटिंग
Virtualization,वर्चुअलाइज़ेशन
Containerization,कंटेनराइज़ेशन
Docker,डॉकर
Kubernetes,कुबरनेट्स
API (Application Programming Interface),एपीआई (एप्लिकेशन प्रोग्रामिंग इंटरफ़ेस)
SDK (Software Development Kit),एसडीके (सॉफ़्टवेयर डेवलपमेंट किट)
IDE (Integrated Development Environment),आईडीई (इंटीग्रेटेड डेवलपमेंट एनवायरनमेंट)
Git,गिट
GitHub,गिटहब
Repository,रिपॉजिटरी
Branch,ब्रांच
Commit,कमिट
Merge,मर्ज
Pull Request,पुल रिक्वेस्ट
Bug,बग
Debug,डीबग
Cache,कैश
Cookie,कुकी
Plugin,प्लगइन
Widget,विजेट
Framework,फ़्रेमवर्क
Library,लाइब्रेरी
Module,मॉड्यूल
Domain Name System,डोमेन नेम सिस्टम
IP Address,आईपी एड्रेस
URL (Uniform Resource Locator),यूआरएल (यूनिफ़ॉर्म रिसोर्स लोकेटर)
HTTP (Hypertext Transfer Protocol),एचटीटीपी (हाइपरटेक्स्ट ट्रांसफ़र प्रोटोकॉल)
HTTPS (Hypertext Transfer Protocol Secure),एचटीटीपीएस (हाइपरटेक्स्ट ट्रांसफ़र प्रोटोकॉल सिक्योर)
SSL (Secure Sockets Layer),एसएसएल (सिक्योर सॉकेट्स लेयर)
TLS (Transport Layer Security),टीएलएस (ट्रांसपोर्ट लेयर सिक्योरिटी)
Encryption,एन्क्रिप्शन
Decryption,डिक्रिप्शन
Authentication,प्रमाणीकरण
Authorization,प्राधिकरण
Cybersecurity,साइबर सुरक्षा
Malware,मैलवेयर
Virus,वायरस
Trojan,ट्रोजन
Ransomware,रैंसमवेयर
Phishing,फ़िशिंग
Firewall,फ़ायरवॉल
VPN (Virtual Private Network),वीपीएन (वर्चुअल प्राइवेट नेटवर्क)
Backup,बैकअप
Restore,रिस्टोर
Big Data,बिग डेटा
Machine Learning,मशीन लर्निंग
Artificial Intelligence,आर्टिफिशियल इंटेलिजेंस
Internet of Things,इंटरनेट ऑफ़ थिंग्स
Blockchain,ब्लॉकचेन
Cryptocurrency,क्रिप्टोकरेंसी
Open Source,ओपन सोर्स
Proprietary Software,प्रोप्राइटरी सॉफ़्टवेयर
User,यूज़र
Administrator,एडमिनिस्ट्रेटर
Developer,डेवलपर
Engineer,इंजीनियर
Syntax,सिंटैक्स
Compiler,कंपाइलर
Interpreter,इंटरप्रpreter
Object-Oriented Programming,ऑब्जेक्ट-ओरिएंटेड प्रोग्रामिंग
Functional Programming,फ़ंक्शनल प्रोग्रामिंग
Frontend,फ्रंटएंड
Backend,बैकएंड
Full Stack,फ़ुल स्टैक
DevOps,डेवऑप्स
Agile,एजाइल
Scrum,स्क्रम
Waterfall Model,वाटरफॉल मॉडल
Pixel,पिक्सल
Resolution,रिज़ॉल्यूशन
Bandwidth,बैंडविड्थ
Latency,लेटेंसी
Driver,ड्राइवर
Operating System,ऑपरेटिंग सिस्टम
BIOS,बायोस
UEFI,यूईएफआई
Bootloader,बूटलोडर
Partition,पार्टीशन
File System,फ़ाइल सिस्टम
Directory,डायरेक्टरी
File,फ़ाइल
Folder,फ़ोल्डर
Proxy Server,प्रॉक्सी सर्वर
Load Balancer,लोड बैलेंसर
Data Center,डेटा सेंटर
Microservices,माइक्रोसर्विस
Monolith,मोनोलिथ
Stack Overflow,स्टैक ओवरफ़्लो
Boolean,बूलियन
Integer,इंटीजर
String,स्ट्रिंग
Array,ऐरे
Variable,वैरिएबल
Function,फ़ंक्शन
Class,क्लास
Object,ऑब्जेक्ट
Method,मेथड
Parameter,पैरामीटर
Argument,आर्गुमेंट
Loop,लूप
Conditional Statement,कंडीशनल स्टेटमेंट
Pointer,पॉइंटर
Memory,मेमोरी
CPU (Central Processing Unit),सीपीयू (सेंट्रल प्रोसेसिंग यूनिट)
GPU (Graphics Processing Unit),जीपीयू (ग्राफ़िक्स प्रोसेसिंग यूनिट)
RAM (Random Access Memory),रैम (रैंडम एक्सेस मेमोरी)
ROM (Read-Only Memory),रोम (रीड-ओनली मेमोरी)
